Title,Authors,Year,Venue,Citations,Database,Model,Num_Images,Epochs,Batch_Size,Accuracy,Precision,Recall,F1_Score,IoU,AUC,Other_Metrics,URL
Chromenet: a CNN architecture with comparison of optimizers for classification of human chromosome images,"D. Menaka, S. Vaidyanathan",2022,Multidimensional systems and signal processing,25,Semantic Scholar,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/d1d20ed78faf8d9678b4503e6db91dea27d81677
CIR-Net: Automatic Classification of Human Chromosome Based on Inception-ResNet Architecture.,"Chengchuang Lin, Gansen Zhao, Zhirong Yang, Aihua Yin, Xinming Wang et al.",2022,IEEE/ACM transactions on computational biology and bioinformatics,,PubMed,"ResNet, Inception",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/32750868/
Automated identification of aneuploid cells within the inner cell mass of an embryo using a numerical extraction of morphological signatures,"Abbas Habibalahi, Jared M. Campbell, T. Tan, S. Mahbub, R. Rose et al.",2022,bioRxiv,0,Semantic Scholar,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/b77ce6468b5b45815ee1f4662825ec588536e2b1
Automated chromosomes counting systems using deep neural network,"S. Kang, Junghun Han, Y. Chu, Inkyung Lee, Haemi Joo et al.",2022,"International Conference on Electronics, Information and Communications",2,Semantic Scholar,"Faster R-CNN, R-CNN",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/191a2075b45798e372ae537c26bea2e22c084bda
Automated analysis of karyotype images,"Ensieh Khazaei, Ala Emrany, Mostafa Tavassolipour, F. Mahjoubi, A. Ebrahimi et al.",2022,J. Bioinform. Comput. Biol.,2,Semantic Scholar,CNN,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/c2c8c4b2c7dabb66cf77ee81d4b0422d5b974342
An improved deep convolutional neural network architecture for chromosome abnormality detection using hybrid optimization model,"N. Nimitha, P. Ezhumalai, A. Chokkalingam",2022,Microscopy research and technique (Print),13,Semantic Scholar,DCNN,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/875bd6e495c5ab30b7dde934f9d8e9d2c2cede20
A computer-aided grading of glioma tumor using deep residual networks fusion.,"Prasun Chandra Tripathi, Soumen Bag",2022,Computer methods and programs in biomedicine,,PubMed,Not specified,Not specified,Not specified,Not specified,95.87%,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/34974232/
A Clinical Dataset and Various Baselines for Chromosome Instance Segmentation.,"Runhua Huang, Chengchuang Lin, Aihua Yin, Hanbiao Chen, Li Guo et al.",2022,IEEE/ACM transactions on computational biology and bioinformatics,,PubMed,R-CNN,Not specified,Not specified,Not specified,95.38%,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/34133283/
Traditional and deep‐based techniques for end‐to‐end automated karyotyping: A review,"Remya Remani Sathyan, Gopakumar Chandrasekhara Menon, H. S, R. Thampi, Jude Hemanth Duraisamy",2021,Expert Syst. J. Knowl. Eng.,24,Semantic Scholar,CNN,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/a6edb5197e2eced479311902218c42383af41ea6
Retracted: Diagnostic Classification and Prognostic Prediction Using Common Genetic Variants in Autism Spectrum Disorder: Genotype-Based Deep Learning.,"Haishuai Wang, Paul Avillach",2021,JMIR medical informatics,,PubMed,CNN,Not specified,Not specified,Not specified,88%,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/33714937/
New methodology for repetitive sequences identification in human X and Y chromosomes.,"Rabeb Touati, Asma Tajouri, Imen Mesaoudi, Afef Elloumi Oueslati, Zied Lachiri et al.",2021,Biomedical signal processing and control,,PubMed,CNN,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/33101452/
Classification of fluorescent R-Band metaphase chromosomes using a convolutional neural network is precise and fast in generating karyograms of hematologic neoplastic cells.,"B. Vajen, Siegfried Hänselmann, Friederike Lutterloh, S. Käfer, Jennifer Espenkötter et al.",2021,Cancer Genetics,18,Semantic Scholar,CNN,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/1fb1697b755e4d00472e2cfbb36ff178ef248862
ChrNet: A re-trainable chromosome-based 1D convolutional neural network for predicting immune cell types.,"Shuo Jia, Pingzhao Hu",2021,Genomics,,PubMed,CNN,Not specified,Not specified,Not specified,90%,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/33932523/
CNN and Computational Configuration Mathematical Chromosomal Defect Analysis in Medical Images,"M. SureshAnand, G. Reddy, S. Rubavathy, Kalaiselvi Geetha",2021,Journal of Physics: Conference Series,1,Semantic Scholar,"Mask R-CNN, R-CNN",", chromosomes",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/0a8ce148a4f8c7f7a9a39f4c73cdf9b93a0da0e6
Benchmarking of Whole Genome Sequencing (WGS) and Whole Transcriptome Sequencing (WTS) As Diagnostic Tools for the Genetic Characterization of Acute Myeloid Leukemia (AML) and Acute Lymphoblastic Leukemia (ALL) in Adults,"C. Haferlach, W. Walter, M. Meggendorfer, A. Stengel, C. Baer et al.",2021,Blood,4,Semantic Scholar,Not specified,9 samples,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/c877f158cbaea368bfc2528be8d20f5a27ab0af9
A sequence-based deep learning approach to predict CTCF-mediated chromatin loop.,"Hao Lv, Fu-Ying Dao, Hasan Zulfiqar, Wei Su, Hui Ding et al.",2021,Briefings in bioinformatics,,PubMed,CNN,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/33634313/
A full molecular picture of F8 intron 1 inversion created with optical genome mapping,"S. Fahiminiya, G. Rivard, P. Scott, A. Montpetit, F. Bacot et al.",2021,Haemophilia,5,Semantic Scholar,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/206af06d630836a13e46f6f0bacb330097b7fa5e
Evolutionary NAS with Gene Expression Programming of Cellular Encoding,"Clifford Broni-Bediako, Yuki Murata, Luiz Henrique Mormille, Masayasu Atsumi",2020,arXiv Preprint,,arXiv,CNN,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,http://arxiv.org/abs/2005.13110v2
Efficient Hyperparameter Optimization in Deep Learning Using a Variable Length Genetic Algorithm,"Xueli Xiao, Ming Yan, Sunitha Basodi, Chunyan Ji, Yi Pan",2020,arXiv Preprint,,arXiv,CNN,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,http://arxiv.org/abs/2006.12703v1
EPIHC: Improving Enhancer-Promoter Interaction Prediction by using Hybrid features and Communicative learning,"Shuai Liu, Xinran Xu, Zhihao Yang, Xiaohan Zhao, Wen Zhang",2020,arXiv Preprint,,arXiv,CNN,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,http://arxiv.org/abs/2012.15418v1
DeepACC:Automate Chromosome Classification based on Metaphase Images using Deep Learning Framework Fused with Prior Knowledge,"Chunlong Luo, Tianqi Yu, Yufan Luo, Manqing Wang, Fuhai Yu et al.",2020,arXiv Preprint,,arXiv,Not specified,3390 metaphase,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,http://arxiv.org/abs/2006.15528v2
Chromosome Cluster Identification Framework Based on Geometric Features and Machine Learning Algorithms*,"Chengchuang Lin, A. Yin, Qinglan Wu, Hanbiao Chen, Li Guo et al.",2020,IEEE International Conference on Bioinformatics and Biomedicine,4,Semantic Scholar,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/e1a7b518339a8bcfc9aa8e9989f31ca6f308af0c
Brain MRI analysis using a deep learning based evolutionary approach.,"Hossein Shahamat, Mohammad Saniee Abadeh",2020,Neural networks : the official journal of the International Neural Network Society,,PubMed,CNN,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://pubmed.ncbi.nlm.nih.gov/32259762/
A Comprehensive Study on Convolutional Neural Networks for Chromosome Classification,"R. Remya, S. Hariharan, Vishnu Vinod, David John W Fernandez, NM Muhammed Ajmal et al.",2020,2020 Advanced Computing and Communication Technologies for High Performance Applications (ACCTHPA),10,Semantic Scholar,DCNN,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,https://www.semanticscholar.org/paper/0421349b1b829cd23a349f246cb1d2177b8fd49e
